Symbol	HitsOnWSB	Company Name	industry	"Market Cap
"
TALS	0	Talaris Therapeutics	Biotechnology	"386.79M
"
TANH	0	Tantech Holdings	Chemicals	"19.65M
"
TAOP	0	Taoping	IT Services	"25.75M
"
TARA	0	Protara Therapeutics	Biotechnology	"63.37M
"
TARO	0	Taro Pharmaceutical Industries	Pharmaceuticals	"1.80B
"
TARS	0	Tarsus Pharmaceuticals	Biotechnology	"426.77M
"
TASK	0	TaskUs	Information Technology Services	"3.23B
"
TAST	0	Carrols Restaurant Group	"""Hotels, Restaurants & Leisure"""	"132.29M
"
TATT	0	TAT Technologies	Aerospace & Defense	"55.67M
"
TAYD	0	Taylor Devices	Machinery	"36.96M
"
TBBK	0	The Bancorp	Banks	"1.74B
"
TBCP	0	Thunder Bridge Capital Partners III	Blank Check / SPAC	"513.29M
"
TBI	0	TrueBlue	Professional Services	"952.30M
"
TBK	0	Triumph Bancorp	Banks	"2.20B
"
TBLA	0	Taboola.com	Internet Content & Information	"1.50B
"
TBLD	0	Thornburg Income Builder Opportunities Trust	n/a	"599.61M
"
TBNK	0	Territorial Bancorp	Thrifts & Mortgage Finance	"235.33M
"
TBPH	0	Theravance Biopharma	Pharmaceuticals	"675.08M
"
TBSA	0	TB SA Acquisition	Blank Check / SPAC	"242.50M
"
TC	0	TuanChe	Internet Content & Information	"42.86M
"
TCAC	0	Tuatara Capital Acquisition	Blank Check / SPAC	"247.63M
"
TCBC	0	TC Bancshares	Banks-Regional	"65.98M
"
TCBI	0	Texas Capital Bancshares	Banks	"3.23B
"
TCBK	0	TriCo Bancshares	Banks	"1.32B
"
TCBS	0	Texas Community Bancshares	Banks-Regional	"50.25M
"
TCBX	0	Third Coast Bancshares	Banks-Regional	"329.83M
"
TCDA	0	Tricida	Pharmaceuticals	"581.70M
"
TCFC	0	The Community Financial Corporation	Banks	"228.17M
"
TCI	0	Transcontinental Realty Investors	Real Estate Management & Development	"343.84M
"
TCMD	0	Tactile Systems Technology	Health Care Equipment & Supplies	"309.64M
"
TCN	0	Tricon Residential	Real Estate Services	"0.00
"
TCOA	0	Trajectory Alpha Acquisition	Blank Check / SPAC	"186.38M
"
TCOM	0	Trip.com Group	Internet & Direct Marketing Retail	"17.25B
"
